# name|type|path
jctest|Guide|index.html
Getting Started|Guide|main/index.html
Building|Guide|building/index.html
API|Guide|api/index.html
Features|Guide|api/features/index.html
Assertions|Guide|api/01-assertions/index.html
Test Cases|Guide|api/02-testcases/index.html
Runtime|Guide|api/03-runtime/index.html
Customization|Guide|api/customization/index.html
Benchmarks|Guide|benchmarks/index.html
About|Guide|about/index.html

ASSERT_TRUE|Macro|api/01-assertions/index.html#boolean-checks
ASSERT_FALSE|Macro|api/01-assertions/index.html#boolean-checks
EXPECT_TRUE|Macro|api/01-assertions/index.html#boolean-checks
EXPECT_FALSE|Macro|api/01-assertions/index.html#boolean-checks
ASSERT_EQ|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_NE|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_LT|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_GT|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_LE|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_GE|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_EQ|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_NE|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_LT|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_GT|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_LE|Macro|api/01-assertions/index.html#value-comparison-checks
EXPECT_GE|Macro|api/01-assertions/index.html#value-comparison-checks
ASSERT_NEAR|Macro|api/01-assertions/index.html#floating-point-comparison
EXPECT_NEAR|Macro|api/01-assertions/index.html#floating-point-comparison
ASSERT_STREQ|Macro|api/01-assertions/index.html#string-assertions
ASSERT_STRNE|Macro|api/01-assertions/index.html#string-assertions
EXPECT_STREQ|Macro|api/01-assertions/index.html#string-assertions
EXPECT_STRNE|Macro|api/01-assertions/index.html#string-assertions
ASSERT_ARRAY_EQ|Macro|api/01-assertions/index.html#array-assertions
ASSERT_ARRAY_EQ_LEN|Macro|api/01-assertions/index.html#array-assertions
EXPECT_ARRAY_EQ|Macro|api/01-assertions/index.html#array-assertions
EXPECT_ARRAY_EQ_LEN|Macro|api/01-assertions/index.html#array-assertions
ASSERT_DEATH|Macro|api/01-assertions/index.html#death-test
EXPECT_DEATH|Macro|api/01-assertions/index.html#death-test
SKIP|Macro|api/01-assertions/index.html#skip
SCOPED_TRACE|Macro|api/01-assertions/index.html#scoped_tracemessage

TEST|Macro|api/02-testcases/index.html#testfixturename-testname
TEST_F|Macro|api/02-testcases/index.html#test_ffixturename-testname
JC_TEST_FIXTURE_SETUP|Macro|api/02-testcases/index.html#test_ffixturename-testname
JC_TEST_FIXTURE_TEARDOWN|Macro|api/02-testcases/index.html#test_ffixturename-testname
TEST_P|Macro|api/02-testcases/index.html#test_p--instantiate_test_case_p
INSTANTIATE_TEST_CASE_P|Macro|api/02-testcases/index.html#test_p--instantiate_test_case_p
TYPED_TEST_CASE|Macro|api/02-testcases/index.html#typed_test_case--typed_test
TYPED_TEST|Macro|api/02-testcases/index.html#typed_test_case--typed_test
jc_test_values_in|Function|api/02-testcases/index.html#jc_test_values_in
jc_test_type1|Type|api/02-testcases/index.html#typed_test_case--typed_test
jc_test_type2|Type|api/02-testcases/index.html#typed_test_case--typed_test
jc_test_type3|Type|api/02-testcases/index.html#typed_test_case--typed_test
jc_test_type4|Type|api/02-testcases/index.html#typed_test_case--typed_test
jc_test_base_class|Class|api/02-testcases/index.html#jc_test_base_class
jc_test_params_class|Class|api/02-testcases/index.html#template--jc_test_params_class
SetUp|Method|api/02-testcases/index.html#jc_test_base_class
TearDown|Method|api/02-testcases/index.html#jc_test_base_class
SetUpTestCase|Method|api/02-testcases/index.html#jc_test_base_class
TearDownTestCase|Method|api/02-testcases/index.html#jc_test_base_class
GetParam|Method|api/02-testcases/index.html#template--jc_test_params_class

jc_test_init|Function|api/03-runtime/index.html#jc_test_init
jc_test_run_all|Function|api/03-runtime/index.html#jc_test_run_all
--test-filter|Option|api/03-runtime/index.html#--test-filter-pattern
--filter|Option|api/03-runtime/index.html#--test-filter-pattern
--test-break-on-fail|Option|api/03-runtime/index.html#--test-break-on-fail

JC_TEST_IMPLEMENTATION|Macro|api/customization/index.html#jc_test_implementation
JC_TEST_USE_DEFAULT_MAIN|Macro|api/customization/index.html#jc_test_use_default_main
JC_TEST_OUTPUT_FN|Macro|api/customization/index.html#jc_test_output_fn
JC_TEST_LOGGER_CLASS|Macro|api/customization/index.html#jc_test_logger_class
JC_TEST_FLUSH_OUTPUT|Macro|api/customization/index.html#jc_test_flush_output
JC_TEST_USE_PRINTF|Macro|api/customization/index.html#jc_test_use_printf
JC_TEST_USE_COLORS|Macro|api/customization/index.html#runtime-configuration
JC_TEST_NO_DEATH_TEST|Macro|api/customization/index.html#runtime-configuration
JC_TEST_TIMING_FUNC|Macro|api/customization/index.html#runtime-configuration
JC_TEST_DBG_BREAK|Macro|api/customization/index.html#runtime-configuration
JCT_IS_DEBUGGER_ATTACHED|Macro|api/customization/index.html#runtime-configuration
JC_TEST_FAILURE_MALLOC|Macro|api/customization/index.html#runtime-configuration
JC_TEST_FAILURE_REALLOC|Macro|api/customization/index.html#runtime-configuration
JC_TEST_FAILURE_FREE|Macro|api/customization/index.html#runtime-configuration
JC_TEST_ASSERT_FN|Macro|api/customization/index.html#runtime-configuration
JC_TEST_EXIT|Macro|api/customization/index.html#runtime-configuration
JC_TEST_SNPRINTF|Macro|api/customization/index.html#runtime-configuration
JC_TEST_ISATTY|Macro|api/customization/index.html#runtime-configuration
